start_date_local,elapsed_time,moving_time
2019-04-15 18:01:26.240000,0:12:36.760000,0:12:36.760000
2019-02-08 08:51:39.330000,0:09:33.670000,0:09:33.670000
2019-02-15 08:42:52.880000,0:10:46.120000,0:10:46.120000
2019-01-16 17:40:03.030000,0:20:35.970000,0:20:35.970000
2019-09-06 09:03:47.780000,0:08:47.220000,0:08:47.220000
2020-01-03 17:31:10.510000,0:20:45.490000,0:20:45.490000
2019-02-07 17:35:29.880000,0:14:32.120000,0:14:32.120000
2019-10-08 17:31:05,0:00:00,0:00:00
2020-01-02 09:25:55.560000,0:15:10.440000,0:15:10.440000
2019-02-15 17:18:33.820000,0:10:38.180000,0:10:38.180000
2019-01-31 09:01:43.680000,0:10:31.320000,0:10:31.320000
2019-11-06 17:48:51.360000,0:13:28.640000,0:13:28.640000
2020-01-13 17:17:05.660000,0:26:19.340000,0:26:19.340000
2019-09-04 18:10:44.910000,0:12:17.090000,0:12:17.090000
2019-07-12 08:52:48.130000,0:10:48.870000,0:10:48.870000
2019-10-29 09:40:24.770000,0:11:04.230000,0:11:04.230000
2019-07-08 17:47:42.900000,0:12:13.100000,0:12:13.100000
2019-03-12 17:23:56,0:12:00,0:12:00
2020-01-03 09:27:54.030000,0:13:40.970000,0:13:40.970000
2019-11-20 09:02:49.410000,0:12:36.590000,0:12:36.590000
2019-03-25 17:29:17.810000,0:09:57.190000,0:09:57.190000
2019-02-21 17:31:58.110000,0:11:24.890000,0:11:24.890000
2019-06-05 17:47:02.470000,0:12:13.530000,0:12:13.530000
2019-04-22 09:18:52.580000,0:10:13.420000,0:10:13.420000
2019-01-22 08:48:12.030000,0:12:02.970000,0:12:02.970000
2019-03-12 08:43:27.930000,0:09:56.070000,0:09:56.070000
2019-02-22 16:59:21.050000,0:09:11.950000,0:09:11.950000
2019-09-27 18:08:10.090000,0:12:46.910000,0:12:46.910000
2019-09-25 09:00:05.800000,0:12:28.200000,0:12:28.200000
2019-12-10 17:17:52.790000,0:16:24.210000,0:16:24.210000
2020-01-06 18:00:21,0:00:00,0:00:00
2019-05-06 09:11:58.010000,0:12:07.990000,0:12:07.990000
2019-09-27 08:56:00.850000,0:10:48.150000,0:10:48.150000
